Year,Engine HP,Engine Cylinders,Number of Doors,Vehicle Size,highway MPG,city mpg,Popularity,MSRP,Trans_Reg
2016,240,4,4,2,34,22,3916,43000,1
2016,300,6,4,2,30,20,3916,49200,1
2017,320,6,4,2,30,20,3916,49650,1
2017,248,4,4,2,33,23,3916,43950,1
2015,241,4,4,2,33,22,3916,41950,1
2015,335,6,4,2,33,25,3916,50150,1
2015,240,4,4,2,35,23,3916,37500,1
2015,300,6,4,2,32,21,3916,43750,1
2015,180,4,4,2,45,32,3916,39000,1
2015,240,4,4,2,33,22,3916,39500,1
2015,240,4,4,2,33,22,3916,39500,1
2015,180,4,4,2,35,23,3916,34950,1
2015,300,6,4,2,30,20,3916,45750,1
2015,180,4,4,2,43,31,3916,43450,1
2015,240,4,4,2,35,23,3916,37500,1
2015,180,4,4,2,43,31,3916,41000,1
2015,180,4,4,2,36,24,3916,32950,1
2016,180,4,4,2,40,30,3916,41850,1
2016,320,6,4,2,33,22,3916,47800,1
2016,180,4,4,2,42,32,3916,39850,1
2016,240,4,4,2,34,22,3916,38350,1
2016,240,4,4,2,34,22,3916,40350,1
2016,240,4,4,2,34,22,3916,38350,0
2016,240,4,4,2,34,22,3916,42650,1
2016,180,4,4,2,36,24,3916,33150,1
2016,180,4,4,2,35,23,3916,35150,1
2016,180,4,4,2,40,30,3916,44150,1
2016,320,6,4,2,33,22,3916,45800,1
2017,248,4,4,2,34,23,3916,38750,1
2017,180,4,4,2,34,23,3916,35450,1
2017,180,4,4,2,35,23,3916,33450,1
2017,248,4,4,2,33,23,3916,40750,1
2017,180,4,4,2,40,30,3916,42250,1
2017,248,4,4,2,33,23,3916,42950,1
2017,180,4,4,2,42,32,3916,40250,1
2017,320,6,4,2,31,21,3916,49900,1
2017,320,6,4,2,32,21,3916,47900,1
2017,180,4,4,2,40,30,3916,44450,1
1991,177,6,4,3,19,15,617,2232,1
1991,177,6,4,2,20,15,617,2000,1
1991,158,6,4,2,22,17,617,2000,1
1991,177,6,4,2,20,15,617,2105,1
1991,177,6,4,2,18,15,617,2199,1
1991,177,6,4,2,22,16,617,2000,1
1991,177,6,4,3,19,15,617,2124,1
1991,228,6,2,1,21,14,617,3552,0
1991,217,6,2,2,22,15,617,2179,1
1991,121,5,4,2,30,23,617,2000,1
1992,121,5,4,2,29,23,617,2000,1
1992,228,6,4,3,17,14,617,2377,1
1992,228,6,2,1,21,15,617,3814,0
1992,177,6,4,2,19,15,617,2207,1
1992,177,6,4,2,20,15,617,2000,1
1992,217,6,2,2,21,15,617,2248,1
1992,177,6,4,2,22,16,617,2065,1
1992,148,6,4,3,22,18,617,2547,1
1992,177,6,4,2,18,15,617,2282,1
1992,158,6,4,2,23,18,617,2000,1
1993,177,6,4,2,19,15,617,2544,1
1993,217,6,2,2,22,17,617,2397,1
1993,121,5,4,2,30,23,617,2000,1
1993,228,6,2,1,21,14,617,4174,0
1993,217,6,4,2,22,17,617,2187,1
1993,148,6,4,3,22,18,617,2729,1
1993,177,6,4,2,19,15,617,2433,1
1993,194,6,4,2,23,17,617,2247,1
1993,228,6,4,3,18,14,617,2540,1
1997,218,6,2,1,23,17,436,3941,0
1997,161,6,2,1,22,17,436,3295,0
1997,320,6,2,1,22,16,436,6008,0
1998,320,6,2,1,22,16,436,6710,0
1998,161,6,2,1,22,17,436,3701,0
1998,218,6,2,1,23,17,436,4671,0
1999,218,6,2,1,23,17,436,5306,0
1999,320,6,2,1,22,16,436,7600,0
1999,161,6,2,1,22,17,436,4090,0
2015,300,6,4,3,27,18,1013,37570,1
2015,292,6,4,3,31,19,1013,31695,1
2015,292,6,4,3,31,19,1013,38070,1
2015,292,6,4,3,27,18,1013,44895,1
2015,300,6,4,3,31,19,1013,35070,1
2015,292,6,4,3,31,19,1013,42395,1
2015,292,6,4,3,27,18,1013,34195,1
2015,292,6,4,3,27,18,1013,40570,1
2016,300,6,4,3,27,18,1013,38095,1
2016,300,6,4,3,31,19,1013,35595,1
2016,292,6,4,3,27,18,1013,45190,1
2016,292,6,4,3,31,19,1013,32260,1
2016,292,6,4,3,27,18,1013,37755,1
2016,292,6,4,3,27,18,1013,41055,1
2016,300,6,4,3,31,19,1013,36090,1
2016,292,6,4,3,31,19,1013,42690,1
2016,292,6,4,3,31,19,1013,38555,1
2016,292,6,4,3,31,19,1013,35255,1
2016,300,6,4,3,27,18,1013,38590,1
2016,292,6,4,3,27,18,1013,34760,1
2017,292,6,4,3,27,18,1013,41135,1
2017,292,6,4,3,27,18,1013,45270,1
2017,300,6,4,3,27,18,1013,38670,1
2017,292,6,4,3,30,19,1013,38635,1
2017,300,6,4,3,30,19,1013,36170,1
2017,300,6,4,3,27,18,1013,38175,1
2017,292,6,4,3,30,19,1013,32340,1
2017,292,6,4,3,30,19,1013,42770,1
2017,292,6,4,3,27,18,1013,34840,1
2017,300,6,4,3,30,19,1013,35675,1
2002,250,6,4,3,24,16,1013,32065,1
2002,250,6,4,3,24,16,1013,28540,1
2003,255,6,4,3,25,16,1013,32315,1
2003,250,6,4,3,25,16,1013,28885,1
2004,250,6,4,3,25,16,1013,29185,1
2004,255,6,4,3,25,16,1013,32615,1
1994,222,6,2,1,22,16,2009,2847,0
1994,222,6,2,1,22,16,2009,2488,0
1994,300,6,2,1,22,16,2009,2683,0
1994,222,6,2,1,22,16,2009,2553,0
1995,300,6,2,1,22,16,2009,3049,0
1995,222,6,2,1,22,17,2009,2774,0
1995,222,6,2,1,22,17,2009,2702,0
1995,222,6,2,1,22,17,2009,3101,0
1996,300,6,2,1,22,16,2009,3510,0
1996,222,6,2,1,22,17,2009,3107,0
1996,222,6,2,1,22,17,2009,3624,0
1996,222,6,2,1,22,17,2009,3185,0
1992,82,4,2,1,33,25,586,2000,0
1992,82,4,2,1,33,25,586,2000,0
1993,82,4,2,1,33,25,586,2000,0
1993,82,4,2,1,32,24,586,2000,0
1994,82,4,2,1,33,25,586,2000,0
1990,134,6,4,3,23,19,617,2144,1
1990,134,6,4,3,23,19,617,2098,1
1991,134,6,4,3,23,19,617,2178,1
1991,134,6,4,3,23,19,617,2311,1
2007,306,6,2,1,23,17,2009,36550,1
2007,306,6,2,1,23,17,2009,41250,1
2007,306,6,2,1,24,17,2009,30600,1
2007,306,6,2,1,24,17,2009,37100,1
2007,306,6,2,1,25,18,2009,27900,0
2007,306,6,2,1,25,18,2009,32700,0
2007,306,6,2,1,24,17,2009,40250,0
2007,306,6,2,1,24,17,2009,35550,0
2007,306,6,2,1,25,18,2009,36100,0
2007,306,6,2,1,24,17,2009,33200,1
2007,306,6,2,1,24,17,2009,37900,0
2007,306,6,2,1,25,18,2009,29600,0
2007,306,6,2,1,25,18,2009,38070,0
2007,306,6,2,1,23,17,2009,38900,1
2008,306,6,2,1,24,17,2009,33840,1
2008,306,6,2,1,24,17,2009,38630,0
2008,306,6,2,1,23,17,2009,39630,1
2008,306,6,2,1,24,17,2009,37740,1
2008,306,6,2,1,23,17,2009,41980,1
2008,306,6,2,1,24,17,2009,36280,0
2008,306,6,2,1,25,18,2009,36740,0
2008,306,6,2,1,24,17,2009,40980,0
2008,306,6,2,1,25,18,2009,38680,0
2008,306,6,2,1,25,18,2009,28510,0
2008,306,6,2,1,25,18,2009,30210,0
2008,306,6,2,1,24,17,2009,31210,1
2008,306,6,2,1,25,18,2009,33340,0
2008,306,6,2,1,23,17,2009,37280,1
2009,306,6,2,1,24,17,2009,41570,0
2009,306,6,2,1,24,17,2009,36870,0
2009,306,6,2,1,23,17,2009,42570,1
2009,306,6,2,1,23,17,2009,37870,1
2009,306,6,2,1,24,17,2009,39220,0
2009,306,6,2,1,23,17,2009,40220,1
2002,400,8,2,1,15,10,2774,160829,0
2002,400,8,2,1,15,10,2774,140615,0
2002,400,8,2,1,15,10,2774,150694,1
2002,400,8,2,1,15,10,2774,170829,1
2003,400,8,2,1,15,10,2774,165986,0
2003,400,8,2,1,15,10,2774,154090,1
2003,400,8,2,1,15,10,2774,143860,0
2003,400,8,2,1,15,10,2774,176287,1
2004,400,8,2,1,15,10,2774,157767,1
2004,425,8,2,1,15,10,2774,187124,1
2004,400,8,2,1,15,10,2774,147332,0
2004,400,8,2,1,15,10,2774,169900,0
2004,400,8,2,1,15,10,2774,180408,1
2015,350,6,2,1,26,19,2009,46790,1
2015,332,6,2,1,24,17,2009,48100,0
2015,332,6,2,1,26,18,2009,29990,0
2015,332,6,2,1,25,18,2009,41820,1
2015,332,6,2,1,26,19,2009,31290,1
2015,332,6,2,1,26,19,2009,34870,1
2015,332,6,2,1,26,18,2009,33570,0
2015,332,6,2,1,25,18,2009,46570,1
2015,332,6,2,1,26,18,2009,37970,0
2015,332,6,2,1,26,18,2009,37070,0
2015,332,6,2,1,25,18,2009,49400,1
2015,332,6,2,1,24,17,2009,45270,0
2015,332,6,2,1,26,19,2009,39270,1
2015,350,6,2,1,26,18,2009,45490,0
2015,350,6,2,1,26,18,2009,41990,0
2015,332,6,2,1,26,19,2009,38370,1
2015,350,6,2,1,26,19,2009,43290,1
2016,332,6,2,1,25,18,2009,41820,1
2016,332,6,2,1,24,17,2009,48100,0
2016,350,6,2,1,26,19,2009,43290,1
2016,332,6,2,1,26,19,2009,39270,1
2016,332,6,2,1,26,19,2009,34870,1
2016,350,6,2,1,26,18,2009,41990,0
2016,332,6,2,1,26,19,2009,38370,1
2016,332,6,2,1,24,17,2009,45270,0
2016,350,6,2,1,26,18,2009,45490,0
2016,332,6,2,1,26,18,2009,29990,0
2016,332,6,2,1,25,18,2009,46570,1
2016,350,6,2,1,26,19,2009,46790,1
2016,332,6,2,1,25,18,2009,49400,1
2016,332,6,2,1,26,18,2009,37070,0
2016,332,6,2,1,26,19,2009,31290,1
2016,332,6,2,1,26,18,2009,37970,0
2016,332,6,2,1,26,18,2009,33570,0
2017,332,6,2,1,26,18,2009,37970,0
2017,332,6,2,1,26,19,2009,38370,1
2017,332,6,2,1,26,19,2009,34870,1
2017,332,6,2,1,26,18,2009,29990,0
2017,350,6,2,1,26,18,2009,45490,0
2017,350,6,2,1,26,18,2009,41990,0
2017,332,6,2,1,24,17,2009,45270,0
2017,332,6,2,1,26,18,2009,33570,0
2017,332,6,2,1,24,17,2009,48100,0
2017,332,6,2,1,26,19,2009,39270,1
2017,332,6,2,1,25,18,2009,46570,1
2017,332,6,2,1,25,18,2009,49400,1
2017,332,6,2,1,26,18,2009,37070,0
2017,332,6,2,1,25,18,2009,41820,1
2017,350,6,2,1,26,19,2009,46790,1
2017,350,6,2,1,26,19,2009,43290,1
2017,332,6,2,1,26,19,2009,31290,1
2015,184,4,4,1,37,25,586,25045,0
2015,184,4,4,1,39,28,586,26095,1
2015,155,4,4,1,41,30,586,23795,1
2015,155,4,4,1,41,29,586,19595,0
2015,155,4,4,1,41,29,586,18445,0
2015,184,4,4,1,37,25,586,23845,0
2015,184,4,4,1,37,27,586,25395,1
2015,184,4,4,1,39,28,586,24895,1
2015,184,4,4,1,35,26,586,25545,0
2015,155,4,4,1,40,30,586,24295,1
2015,155,4,4,1,41,30,586,19495,1
2015,155,4,4,1,40,29,586,20095,0
2015,155,4,4,1,40,30,586,19995,1
2015,155,4,4,1,40,30,586,21145,1
2015,155,4,4,1,40,29,586,23245,0
2015,155,4,4,1,41,29,586,16945,0
2015,184,4,4,1,35,26,586,24345,0
2015,155,4,4,1,41,30,586,20645,1
2015,155,4,4,1,40,29,586,18945,0
2015,184,4,4,1,37,27,586,26595,1
2015,155,4,4,1,41,29,586,22745,0
2015,155,4,4,1,41,30,586,17995,1
2016,155,4,4,1,41,29,586,22545,0
2016,155,4,4,1,41,30,586,21095,1
2016,184,4,4,1,37,27,586,25495,1
2016,155,4,4,1,40,29,586,20745,0
2016,155,4,4,1,40,30,586,24295,1
2016,155,4,4,1,41,30,586,23595,1
2016,155,4,4,1,40,30,586,21795,1
2016,155,4,4,1,41,29,586,17845,0
2016,184,4,4,1,37,27,586,26495,1
2016,184,4,4,1,37,25,586,24745,0
2016,155,4,4,1,41,30,586,18895,1
2016,155,4,4,1,40,30,586,19595,1
2016,155,4,4,1,40,29,586,23245,0
2016,155,4,4,1,40,29,586,18545,0
2016,184,4,4,1,39,28,586,25795,1
2016,155,4,4,1,41,29,586,20045,0
2016,184,4,4,1,35,26,586,25445,0
2016,184,4,4,1,39,28,586,24795,1
2017,155,4,4,2,37,28,586,21495,1
2017,155,4,4,2,37,27,586,17845,0
2017,184,4,4,2,34,25,586,23145,0
2017,184,4,4,2,36,27,586,24195,1
2017,155,4,4,1,37,28,586,20145,1
2017,184,4,4,1,35,26,586,24945,1
2017,184,4,4,1,33,25,586,23895,0
2017,155,4,4,1,37,27,586,19095,0
2017,184,4,4,1,35,26,586,23445,1
2017,155,4,4,2,37,28,586,18895,1
2017,155,4,4,1,37,28,586,22245,1
2017,184,4,4,1,33,25,586,22395,0
2017,155,4,4,2,37,27,586,20445,0
2015,240,4,4,2,33,22,3916,42300,1
2015,240,4,4,2,34,23,3916,40300,1
2015,240,4,4,2,34,23,3916,40300,1
2015,240,4,4,2,33,22,3916,42300,1
2015,300,6,4,2,32,21,3916,45800,1
2015,300,6,4,2,31,20,3916,47800,1
2016,240,4,4,2,34,22,3916,43650,1
2016,300,6,4,2,30,20,3916,49950,1
2016,300,6,4,2,31,20,3916,47950,1
2016,240,4,4,2,34,23,3916,41650,1
2017,320,6,4,2,32,21,3916,48300,1
2017,320,6,4,2,31,21,3916,50300,1
2017,248,4,4,2,33,23,3916,43950,1
2017,248,4,4,2,34,23,3916,41950,1
2015,300,6,2,2,29,20,3916,56900,1
2015,300,6,2,2,32,21,3916,46250,1
2015,240,4,2,2,33,21,3916,50750,1
2015,240,4,2,2,33,22,3916,42750,1
2015,240,4,2,2,34,23,3916,48750,1
2015,300,6,2,2,30,20,3916,48250,1
2015,240,4,2,2,33,22,3916,42750,1
2015,240,4,2,2,33,21,3916,50750,1
2015,240,4,2,2,35,23,3916,40750,1
2015,300,6,2,2,31,20,3916,54900,1
2015,240,4,2,2,34,23,3916,48750,1
2015,240,4,2,2,35,23,3916,40750,1
2016,240,4,2,2,33,21,3916,52000,1
2016,240,4,2,2,34,23,3916,50000,1
2016,240,4,2,2,34,22,3916,41850,0
2016,300,6,2,2,30,20,3916,50150,1
2016,240,4,2,2,35,23,3916,41850,1
2016,300,6,2,2,29,20,3916,58950,1
2016,240,4,2,2,34,22,3916,43850,1
2016,300,6,2,2,31,20,3916,48150,1
2016,300,6,2,2,31,20,3916,56950,1
2017,248,4,2,2,34,23,3916,50300,1
2017,248,4,2,2,32,22,3916,52300,1
2017,320,6,2,2,31,21,3916,50500,1
2017,248,4,2,2,33,23,3916,44150,1
2017,248,4,2,2,34,23,3916,42150,1
2017,320,6,2,2,30,20,3916,59300,1
2017,320,6,2,2,29,21,3916,57300,1
2017,320,6,2,2,32,21,3916,48500,1
1992,268,8,4,2,20,15,617,2168,1
1992,282,8,4,3,16,12,617,2497,1
1993,275,8,4,2,22,16,617,2278,1
1993,275,8,4,3,17,13,617,2650,1
1990,201,8,4,3,17,14,617,2000,1
1991,201,8,4,3,17,14,617,2186,1
2001,442,12,2,1,14,9,2774,223970,1
2001,442,12,2,1,15,9,2774,219775,0
2002,442,12,2,1,14,9,2774,228625,1
2002,442,12,2,1,15,9,2774,224585,0
2003,442,12,2,1,14,9,2774,228625,1
2003,442,12,2,1,15,9,2774,224585,0
2013,562,8,2,1,17,13,2774,257412,1
2013,562,8,2,1,17,13,2774,233509,1
2014,562,8,2,1,17,13,2774,233509,1
2014,597,8,2,1,17,13,2774,288000,1
2014,562,8,2,1,17,13,2774,257412,1
2015,562,8,2,1,17,13,2774,239340,1
2015,562,8,2,1,17,13,2774,263553,1
2015,597,8,2,1,17,13,2774,291744,1
2015,237,4,2,1,34,24,113,63900,1
2015,237,4,2,1,34,24,113,68400,1
2015,237,4,2,1,34,24,113,53900,1
2016,237,4,2,1,34,24,113,55900,1
2016,237,4,2,1,34,24,113,65900,1
2014,270,6,4,2,23,17,2031,41365,1
2014,270,6,4,2,23,17,2031,35740,1
2014,270,6,4,2,22,17,2031,37615,1
2014,270,6,4,2,22,17,2031,34695,1
2014,270,6,4,2,22,17,2031,35725,1
2014,270,6,4,2,22,17,2031,43400,1
2014,270,6,4,2,23,17,2031,32820,1
2014,270,6,4,2,22,17,2031,38645,1
2015,270,6,4,2,21,17,2031,37825,1
2015,270,6,4,2,21,17,2031,43620,1
2015,270,6,4,2,21,17,2031,36115,1
2015,270,6,4,2,22,17,2031,35950,1
2015,270,6,4,2,22,17,2031,33210,1
2015,270,6,4,2,21,17,2031,38855,1
2015,270,6,4,2,22,17,2031,41585,1
2015,270,6,4,2,21,17,2031,35085,1
2015,270,6,4,2,21,17,2031,41310,1
2016,270,6,4,2,22,17,2031,36690,1
2016,270,6,4,2,21,17,2031,44360,1
2016,270,6,4,2,21,17,2031,39595,1
2016,270,6,4,2,21,17,2031,41850,1
2016,270,6,4,2,22,17,2031,42325,1
2016,270,6,4,2,21,17,2031,35885,1
2016,270,6,4,2,21,17,2031,38565,1
2016,270,6,4,2,21,17,2031,36915,1
2016,270,6,4,2,22,17,2031,34010,1
2015,300,6,4,3,28,19,3916,60700,1
2015,445,8,4,3,24,16,3916,71400,1
2015,300,6,4,3,26,18,3916,63000,1
2015,445,8,4,3,25,16,3916,69100,1
2016,300,6,4,3,26,18,3916,63200,1
2016,445,8,4,3,24,16,3916,72500,1
2016,300,6,4,3,28,19,3916,60900,1
2017,300,6,4,3,26,18,3916,63200,1
2017,300,6,4,3,27,19,3916,60900,1
2017,445,8,4,3,24,15,3916,72500,1
2015,443,8,4,3,25,16,3916,67200,1
2015,302,6,4,3,29,20,3916,57900,1
2015,255,6,4,3,38,26,3916,57100,1
2015,241,4,4,3,33,22,3916,52250,1
2015,255,6,4,3,37,26,3916,59400,1
2015,443,8,4,3,25,17,3916,64900,1
2015,241,4,4,3,34,23,3916,49950,1
2015,302,6,4,3,31,20,3916,55600,1
2016,255,6,4,3,38,26,3916,57350,1
2016,302,6,4,3,29,20,3916,58150,1
2016,302,6,4,3,31,20,3916,55850,1
2016,240,4,4,3,34,22,3916,52500,1
2016,240,4,4,3,34,23,3916,50200,1
2016,443,8,4,3,25,16,3916,68600,1
2016,443,8,4,3,25,17,3916,66300,1
2016,255,6,4,3,37,26,3916,59650,1
1991,322,8,2,1,17,13,617,4155,1
1992,322,8,4,3,15,11,617,2427,1
1992,322,8,4,2,16,13,617,3245,1
1992,322,8,2,1,17,13,617,4701,1
1993,315,8,2,3,16,12,617,3176,1
1993,315,8,4,2,18,14,617,3613,1
1993,315,8,2,1,19,14,617,5140,1
1993,315,8,4,3,16,12,617,2692,1
2015,249,0,2,1,108,122,819,31800,1
2016,249,0,2,1,103,121,819,31800,1
2017,249,0,2,1,103,121,819,31800,1
2015,160,4,2,1,34,28,819,26595,0
2015,101,4,2,1,40,31,819,18700,0
2015,135,4,2,1,34,28,819,19700,0
2015,101,4,2,1,34,28,819,22800,0
2015,101,4,2,1,34,28,819,24700,0
2015,160,4,2,1,34,28,819,22495,0
2015,101,4,2,1,40,31,819,17495,0
2015,101,4,2,1,34,28,819,20345,0
2015,101,4,2,1,40,31,819,17700,0
2015,101,4,2,1,40,31,819,20400,0
2015,101,4,2,1,40,31,819,16845,0
2016,160,4,2,1,34,28,819,26695,0
2016,101,4,2,1,40,31,819,21295,0
2016,101,4,2,1,40,31,819,20395,0
2016,101,4,2,1,40,31,819,17745,0
2016,160,4,2,1,34,28,819,22575,0
2016,101,4,2,1,40,31,819,24495,0
2016,101,4,2,1,40,31,819,16995,0
2016,101,4,2,1,40,31,819,20395,0
2016,135,4,2,1,34,28,819,19700,0
2016,101,4,2,1,40,31,819,17900,0
2016,101,4,2,1,40,31,819,21395,0
2017,160,4,2,1,33,28,819,19995,0
2017,101,4,2,1,33,27,819,19390,1
2017,101,4,2,1,33,27,819,17485,1
2017,101,4,2,1,33,27,819,20885,1
2017,160,4,2,1,33,28,819,21490,0
2017,101,4,2,1,33,27,819,15990,1
2015,160,4,4,1,33,25,819,19345,0
2015,160,4,4,1,33,25,819,23095,0
2015,160,4,4,1,30,22,819,24695,1
2015,160,4,4,1,33,25,819,21695,0
2015,160,4,4,1,33,25,819,20695,0
2016,160,4,4,1,33,25,819,21880,0
2016,160,4,4,1,33,25,819,23395,0
2016,160,4,4,1,30,22,819,24795,1
2016,160,4,4,1,33,25,819,20795,0
2016,160,4,4,1,33,25,819,19495,0
2017,160,4,4,1,30,22,819,23695,1
2017,160,4,4,1,30,22,819,20995,1
2017,160,4,4,1,30,22,819,22995,1
2016,180,4,4,1,30,21,819,24635,1
2016,180,4,4,1,31,22,819,25135,1
2016,180,4,4,1,30,21,819,29235,1
2016,180,4,4,1,31,22,819,23335,1
2016,180,4,4,1,31,22,819,22735,1
2016,180,4,4,1,30,21,819,27035,1
2016,160,4,4,1,34,25,819,20000,0
2016,180,4,4,1,31,22,819,27335,1
2016,180,4,4,1,30,21,819,25235,1
2017,180,4,4,1,29,21,819,27035,1
2017,180,4,4,1,30,22,819,25135,1
2017,180,4,4,1,29,21,819,25235,1
2017,180,4,4,1,29,21,819,23890,1
2017,180,4,4,1,30,22,819,23335,1
2017,160,4,4,1,33,25,819,19995,0
2001,485,12,2,1,12,8,2774,248500,0
2001,485,12,2,1,12,8,2774,205840,0
1990,238,8,2,3,16,12,617,2323,1
1990,238,8,4,3,16,12,617,2170,1
1991,238,8,2,3,16,12,617,2443,1
1991,238,8,4,3,16,12,617,2304,1
2016,562,8,2,1,23,16,416,184900,1
2002,515,12,2,1,15,9,2774,214670,0
2002,515,12,2,1,16,9,2774,224670,1
2003,515,12,2,1,15,9,2774,217890,0
2003,515,12,2,1,16,9,2774,228339,1
2004,515,12,2,1,16,9,2774,228339,1
2004,515,12,2,1,15,9,2774,217890,0
2010,543,12,4,3,16,10,67,366000,1
